debate_id,position,name,score
1,1,Debater 2,3
1,2,Debater 3,2
1,3,Debater 1,0
1,3,Debater 4,0
2,1,Debater 5,5
2,2,Debater 4,2
2,3,Debater 1,0
2,3,Debater 2,0
2,3,Debater 3,0
3,1,Debater 3,3
3,2,Debater 4,2
3,3,Debater 1,1
3,4,Debater 2,0
3,4,Debater 5,0
5,1,Debater 5,4
5,2,Debater 3,2
5,3,Debater 1,0
5,3,Debater 2,0
5,3,Debater 4,0
6,1,Debater 1,4
6,2,Debater 2,2
6,2,Debater 3,2
6,4,Debater 4,0
7,1,Debater 2,4
7,2,Debater 3,2
7,3,Debater 1,1
7,3,Debater 4,1
8,1,Debater 1,5
8,2,Debater 3,1
8,3,Debater 2,0
9,1,Debater 1,3
9,1,Debater 4,3
9,3,Debater 2,0
9,3,Debater 3,0
10,1,Debater 4,4
10,2,Debater 1,2
10,3,Debater 2,1
10,3,Debater 3,1
11,1,Debater 5,5
11,2,Debater 3,2
11,3,Debater 1,0
11,3,Debater 2,0
11,3,Debater 4,0
12,1,Debater 3,4
12,2,Debater 4,2
12,3,Debater 1,0
12,3,Debater 2,0
13,1,Debater 3,4
13,2,Debater 2,3
13,3,Debater 1,0
14,1,Debater 2,4
14,2,Debater 5,3
14,3,Debater 1,0
14,3,Debater 3,0
14,3,Debater 4,0
16,1,Debater 3,3
16,2,Debater 2,1
16,2,Debater 4,1
16,4,Debater 1,0
16,4,Debater 5,0
17,1,Debater 2,4
17,2,Debater 3,2
17,3,Debater 4,1
17,4,Debater 1,0
18,1,Debater 3,3
18,2,Debater 1,2
18,2,Debater 2,2
18,4,Debater 4,1
