debate_id,debater_name,debater_position,debater_score
1,Debater 2,1,10
1,Debater 4,1,10
1,Debater 3,3,9
1,Debater 1,4,8
2,Debater 5,1,22
2,Debater 1,2,21
2,Debater 3,3,18
2,Debater 2,4,16
2,Debater 4,4,16
3,Debater 1,1,9
3,Debater 3,1,9
3,Debater 4,1,9
3,Debater 5,1,9
3,Debater 2,5,8
5,Debater 1,1,1
5,Debater 2,1,1
5,Debater 3,1,1
5,Debater 4,1,1
5,Debater 5,1,1
6,Debater 1,1,10
6,Debater 2,2,5
6,Debater 3,2,5
6,Debater 4,2,5
7,Debater 1,1,7
7,Debater 2,1,7
7,Debater 3,1,7
7,Debater 4,1,7
8,Debater 1,1,22
8,Debater 3,2,14
8,Debater 2,3,6
9,Debater 1,1,16
9,Debater 4,2,13
9,Debater 2,3,4
9,Debater 3,4,-1
10,Debater 1,1,8
10,Debater 2,2,7
10,Debater 3,3,4
10,Debater 4,3,4
11,Debater 3,1,6
11,Debater 5,1,6
11,Debater 1,3,5
11,Debater 4,3,5
11,Debater 2,5,0
12,Debater 3,1,7
12,Debater 4,2,4
12,Debater 2,3,2
12,Debater 1,4,0
13,Debater 3,1,9
13,Debater 1,2,7
13,Debater 2,3,0
14,Debater 5,1,9
14,Debater 2,2,8
14,Debater 4,3,5
14,Debater 1,4,3
14,Debater 3,4,3
16,Debater 1,1,3
16,Debater 5,1,3
16,Debater 4,3,2
16,Debater 2,4,-1
16,Debater 3,4,-1
17,Debater 2,1,10
17,Debater 4,2,8
17,Debater 1,3,7
17,Debater 3,3,7
18,Debater 1,1,10
18,Debater 2,1,10
18,Debater 3,1,10
18,Debater 4,4,8
